	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
10584	0	1	0	5	4	1	1	4	0	15	1	34	8	0	0	8	3	1	1	1	0	5	2	3	19	1	6	0	0	0	0	0	1	195	161	0	115	54	114	157	35	137	145	43	17	7	145	85	2	3	10	1	8	1	17	40	1	32	0	0	0	0	0	0	0	1	0	2	0	5	0	0	42	137	4	5	24	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
48	0	0	0	1	164	13	1	0	0	0	0	2	1	0	0	0	8	0	23	4	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	4	2	3	0	4	0	1	1	0	1	2	0	17	1	5	0	41	1	76	15	53	44	134	7	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	9	9	31	43	4	6	0	0	1	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
18732	18	0	0	0	0	2	0	0	0	0	0	0	8	0	0	3	2	0	0	8	3	4	0	745	354	221	22	4	57	3	36	20	14	1	0	0	0	0	2	0	0	0	2	7	2	0	4	14	0	2	6	2	8	10	10	11	6	2	0	1	1	0	0	1	0	0	3	0	2	5	1	0	36	145	1	14	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Betaproteobacteria; __Methylophilales; __Methylophilaceae; __Methylotenera; __uncultured_soil_bacterium
15427	0	0	0	1	21	10	1	5	0	0	0	0	12	0	0	1	7	0	3	12	0	6	1	14	9	1	0	0	5	4	8	54	8	87	179	0	15	36	171	26	38	60	185	287	45	12	25	167	4	13	12	8	33	15	57	26	29	14	0	2	0	0	0	0	0	1	0	1	2	1	0	0	13	6	0	0	5	12	3	20	17	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Sphingorhabdus
1405	0	0	0	1	43	46	0	19	0	1	0	2	3	0	1	4	3	0	1	4	1	1	3	2	20	1	28	0	11	13	16	1	82	292	148	0	44	136	74	26	47	115	165	21	27	0	9	29	4	87	41	48	61	3	30	30	8	5	0	0	0	0	0	0	0	0	0	0	0	39	0	0	7	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Rhizobiales_Incertae_Sedis; __Pyruvatibacter
14577	0	0	0	8	26	24	0	3	0	79	6	9	8	0	8	9	25	1	0	74	182	12	30	1	3	7	8	1	2	0	2	0	0	0	2	0	0	0	7	4	1	2	4	0	28	8	97	61	3	1	4	11	1	6	194	171	17	71	3	1	0	5	0	0	0	0	0	0	0	0	0	0	36	12	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Paraglaciecola
904	1	0	0	3	0	11	4	58	0	65	22	14	10	0	3	31	56	8	47	6	16	8	15	19	102	4	1	0	6	0	1	0	0	6	8	0	4	0	0	0	0	8	7	107	27	16	141	7	1	1	5	5	1	222	6	26	33	328	0	6	3	1	1	4	4	4	1	0	0	0	0	0	27	4	2	0	0	23	6	47	23	17	1	15	6	5	14	13	13	21	0	4	0	2	5	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Vibrionales; __Vibrionaceae; __Vibrio
15098	0	0	0	0	0	7	6	1	0	6	0	0	45	0	0	0	0	0	0	0	0	0	0	70	2	32	221	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	17	22	0	3	36	0	0	0	1	0	0	15	44	0	7	0	28	5	2	1	283	376	488	31	45	0	0	0	0	2	4	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	Unassigned
20709	0	1	0	0	287	18	7	0	1	1	4	2	1	0	2	0	18	0	42	7	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	21	12	4	4	0	7	0	0	6	0	0	2	3	20	2	12	0	76	0	134	35	100	76	310	9	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	26	13	37	74	20	17	0	0	1	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
22893	2	0	0	2	262	7	1	2	0	1	0	7	20	0	2	0	10	0	11	7	0	30	1	153	1	0	0	0	0	0	4	0	1	51	44	0	1	18	123	67	26	17	112	88	156	1	23	176	0	5	2	31	15	16	7	15	246	6	0	2	0	0	1	0	0	11	3	3	0	0	0	0	0	13	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	5	0	0	1	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter
21293	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	1	0	0	0	23	10	0	4	5	0	0	0	0	0	1	1	0	1	1	1	1	0	0	2	8	766	83	615	20	1	26	40	16	87	0	0	1	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Polaribacter_2
4163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	0	0	0	0	0	0	0	0	0	53	95	232	43	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	48	42	46	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	32	0	2	0	0	0	0	0	61	8	188	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Roseibacillus
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	3	0	1	4	4	33	11	4	4	39	29	0	3	46	0	19	35	22	21	2	41	17	52	34	0	0	1	0	0	0	0	0	0	1	3	9	5	0	0	3	0	3	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_bacterium
20471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	17	0	0	1	0	0	0	1	0	0	22	23	0	4	14	12	102	15	17	6	125	132	0	7	125	4	40	110	99	56	5	162	52	148	107	0	0	0	0	0	0	0	0	1	3	3	54	6	1	0	2	0	10	90	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_bacterium
14491	0	0	0	4	0	0	0	0	0	2	0	1	0	0	0	6	2	0	0	3	0	4	17	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	32	585	0	0	15	19	1	17	105	395	308	3	115	0	0	0	0	0	0	0	0	0	1	0	27	0	0	45	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rickettsiales; __Mitochondria; __Mitochondria; __uncultured_bacterium
20711	0	1	0	1	243	22	2	1	1	0	0	0	0	0	0	1	9	4	35	7	0	5	19	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	24	19	9	1	11	0	7	0	1	3	0	0	5	2	23	3	13	1	100	0	161	34	84	97	295	6	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	17	50	43	65	15	14	0	0	3	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
21797	0	0	0	1	0	237	3	0	0	40	11	1	11	0	1	1	2	0	0	2	1	6	70	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	3	1	113	258	1	10	33	25	4	33	0	1	0	0	1	123	122	6	6	539	0	22	2	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Wenyingzhuangia
20707	0	0	0	1	257	22	6	1	0	0	0	4	0	0	3	0	13	0	40	9	0	2	6	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	20	19	10	3	2	1	7	0	0	3	0	0	5	3	17	2	9	1	68	2	126	38	93	89	282	8	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	13	16	37	72	17	10	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
17646	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	3	5	3	6	16	0	0	1	5	26	54	16	13	18	86	91	21	184	58	0	67	12	39	65	9	95	163	98	135	0	0	0	0	0	0	0	0	0	1	0	31	0	0	43	29	0	85	43	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
7054	0	0	0	1	14	6	3	11	0	1	0	0	1	0	5	3	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	380	59	0	52	191	42	29	14	247	192	14	15	0	4	4	1	106	38	11	75	57	25	11	0	3	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	1	8	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Rhodobiaceae; __uncultured; __uncultured_bacterium
19881	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	6	0	0	0	2	3	0	0	0	306	68	306	52	439	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	10	13	16	4	1	7	7	2	5	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	34	60	251	24	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Winogradskyella
82	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	172	4	46	113	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	39	101	51	20	1	4	100	13	10	0	0	1	0	0	0	0	0	0	2	5	24	0	9	0	0	0	0	0	7	7	69	23	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
3178	2	0	0	0	1	37	7	0	0	6	0	0	5	0	0	0	1	0	0	165	0	3	0	73	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	4	12	0	0	0	1	0	5	1	23	1	0	1	22	6	5	1	567	291	248	6	27	1	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	11	1	0	3	5	0	0	0	4	0	4	0	Bacteria; __Proteobacteria; __Deltaproteobacteria; __Bdellovibrionales; __Bacteriovoracaceae; __Peredibacter; __uncultured_bacterium
6210	0	0	0	8	84	52	1	1	0	4	1	10	124	0	4	33	7	0	117	58	0	1	387	0	0	4	0	0	2	0	3	8	0	0	1	0	0	0	2	51	6	0	0	1	143	4	147	61	0	6	34	13	10	5	32	6	5	8	60	10	15	10	52	3	15	2	0	7	1	1	2	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __uncultured; __uncultured_Sphingomonas_sp.
20020	1	0	0	0	7	28	0	0	6	7	1	0	15	1	0	193	2	0	1	3	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	7	31	0	8	0	0	0	3	1	1	0	1	0	0	1	80	4	9	0	15	2	3	1	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	2	1196	1	1	0	1	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Olleya
4162	0	1	0	1	182	20	6	3	0	1	0	2	1	0	0	0	7	0	22	3	1	0	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	23	19	6	3	0	0	5	0	0	3	0	0	3	5	14	1	8	0	50	1	87	23	62	67	210	5	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	20	13	30	52	22	10	0	0	1	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
17542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	9	1	2	2	0	40	190	557	446	263	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	9	0	0	1	0	0	0	0	0	0	13	9	55	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Loktanella; __uncultured_bacterium
14890	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	7	0	9	10	1	3	3	0	0	1	0	0	2	5	30	21	20	0	1	0	1	0	0	1	0	1	0	0	2	0	5	1	4	114	159	335	366	3	113	233	44	43	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Polaribacter_4
11100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	14	381	311	512	328	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast; __uncultured_bacterium
15174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	582	24	19	647	271	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	19	2	12	0	4	3	4	3	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
13816	0	1	0	4	205	13	2	3	0	0	2	0	3	0	0	3	10	1	35	5	1	4	17	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	23	15	12	0	4	0	5	0	1	6	0	0	0	4	25	3	17	0	106	1	141	53	104	94	263	10	4	35	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	19	34	45	79	24	13	0	0	1	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
44	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	40	1	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	8	1	1	3	0	0	0	0	0	2	5	0	0	1	0	1	0	0	0	0	2	1	2	0	1	0	0	0	0	48	0	5	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
19264	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	226	2	38	47	118	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	1	1	4	0	6	3	0	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	180	46	35	21	0	0	4	736	2	9	25	3	2	0	6	13	3	27	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Hellea
13284	0	0	0	0	1	49	2	1	0	9	0	0	158	0	0	0	2	0	0	3	0	0	0	11	22	2	112	4	0	0	2	0	0	0	0	0	1	0	1	0	8	0	0	3	26	0	0	122	1	0	0	1	0	0	1	1	1	1	2	33	12	0	3	612	120	80	7	28	0	1	0	0	16	7	0	0	14	2	1	4	2	1	0	0	35	0	0	1	1	0	0	0	1	0	5	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
6601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	15	2	0	0	0	0	0	0	0	0	35	170	65	34	86	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	15	4	3	1	2	5	9	0	2	0	1	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	18	28	2	1047	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter
17	0	0	0	0	112	11	1	0	0	0	0	1	1	0	1	1	6	0	21	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	7	1	2	1	3	0	0	1	0	0	2	3	13	1	5	1	25	0	65	10	30	37	95	3	0	15	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	2	5	2	19	29	4	5	0	0	0	0	1	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
10501	0	0	0	0	0	442	3	0	0	8	0	0	19	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	15	0	1	1	0	0	0	1	0	0	6	2	1	0	0	46	6	2	0	27	717	149	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rickettsiales; __SM2D12; __SM2D12; __uncultured_bacterium
13286	2	0	0	2	4	260	1	0	2	6	23	4	234	0	0	22	0	0	0	43	0	0	0	159	54	18	31	0	2	0	4	0	0	0	5	0	0	0	3	1	3	1	0	7	48	17	36	124	0	0	0	5	0	0	8	13	3	0	0	25	5	0	1	30	18	27	2	138	0	0	0	0	3	2	0	0	2	0	0	0	3	0	0	1	126	0	0	2	0	0	0	0	0	0	3	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
20185	0	0	0	0	36	91	0	8	0	2	0	0	392	5	0	38	4	1	11	17	0	2	8	12	4	41	1	1	14	13	45	131	50	1	0	0	0	0	0	1	1	0	0	2	137	0	5	69	0	4	17	6	9	0	13	5	13	6	51	15	30	4	8	4	4	5	0	6	35	1	0	0	7	11	0	40	0	6	2	29	4	1	0	0	0	0	1	0	0	0	0	3	2	3	13	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_Sulfitobacter_sp.
15594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	35	27	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	44	992	28	95	204	39	24	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_bacterium
9851	0	0	0	110	91	10	5	7	0	24	20	14	2	0	122	1	19	14	3	18	267	9	155	20	5	2	6	0	0	0	1	0	0	0	0	0	0	0	2	13	0	6	5	2	3	1	19	14	0	7	1	0	1	7	11	315	2	18	1	2	1	0	0	0	1	1	0	0	0	0	0	0	15	6	7	0	5	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __uncultured; __uncultured_bacterium
4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	2	26	131	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	121	141	169	81	30	15	36	5	8	0	0	0	0	0	0	1	0	0	0	0	13	0	1	0	0	0	0	0	0	2	89	43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __uncultured; __uncultured; __uncultured
22967	0	1	0	2	231	34	4	4	0	0	0	0	0	0	1	0	7	1	32	12	0	1	6	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	15	9	11	3	13	2	7	0	2	2	1	0	5	2	14	0	12	0	58	0	133	37	79	78	243	6	3	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	4	19	13	24	52	14	8	0	0	1	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
17425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	102	121	456	252	238	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	2	0	0	1	1	0	3	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	59	53	136	29	12	0	0	0	0	0	0	0	0	0	0	0	0	7	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Octadecabacter
21315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	2	3	22	15	34	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	6	89	253	137	781	4	26	27	12	2	0	0	1	0	0	0	0	0	0	6	0	17	3	3	0	0	0	0	0	3	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Tenacibaculum
21216	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	12	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	2	355	270	443	300	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast
3054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	203	210	152	780	0	Bacteria; __Actinobacteria; __Acidimicrobiia; __Acidimicrobiales; __OM1_clade; __Candidatus_Actinomarina
15332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	3	0	4	3	28	5	0	7	7	2	9	1	1	0	1	0	0	0	0	1	0	3	99	0	11	18	1142	3	23	0	0	1	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	Unassigned
5287	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	17	0	4	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	60	5	0	4	12	994	25	84	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	5	98	1	0	0	1	1	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
